alpha,image_id,reference_path,test_path,height,width,channels,psnr_db,ssim,status
0.6,IMG20260108150419,c:\CSUAP\data\test\IMG20260108150419.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img9.png,2592,1944,3,33.034002381671726,0.9720799922943115,ok
0.6,IMG20260412080840,c:\CSUAP\data\test\IMG20260412080840.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img10.png,2592,1944,3,33.06137889595118,0.9799744486808777,ok
0.6,IMG20260526135526,c:\CSUAP\data\test\IMG20260526135526.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img11.png,2592,1944,3,33.019694833244046,0.9507043361663818,ok
0.6,IMG20260901061925,c:\CSUAP\data\test\IMG20260901061925.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img12.png,2592,1944,3,33.115097182252825,0.9724575877189636,ok
0.6,IMG20260901061929,c:\CSUAP\data\test\IMG20260901061929.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img13.png,2592,1944,3,33.059255007438374,0.947446346282959,ok
0.6,IMG20260901061958,c:\CSUAP\data\test\IMG20260901061958.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img14.png,2592,1944,3,33.03463004945798,0.9476372599601746,ok
0.6,IMG20260901064646,c:\CSUAP\data\test\IMG20260901064646.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img15.png,2592,1944,3,33.0933897098082,0.9737973213195801,ok
0.6,IMG20260901064701,c:\CSUAP\data\test\IMG20260901064701.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img16.png,2592,1944,3,33.12835313464924,0.9773423075675964,ok
0.6,IMG20260901064905,c:\CSUAP\data\test\IMG20260901064905.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img17.png,2592,1944,3,33.04006199513435,0.9772785305976868,ok
0.6,IMG20260902163750,c:\CSUAP\data\test\IMG20260902163750.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img18.png,2592,1944,3,33.08873631616065,0.9441652894020081,ok
0.6,IMG20260902163758,c:\CSUAP\data\test\IMG20260902163758.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img19.png,2592,1944,3,33.03696257222086,0.9524126648902893,ok
0.6,IMG20260906165207,c:\CSUAP\data\test\IMG20260906165207.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img20.png,2592,1944,3,33.04209445816415,0.9586179256439209,ok
0.6,IMG20260906165208,c:\CSUAP\data\test\IMG20260906165208.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img21.png,2592,1944,3,33.04270599804789,0.9585413336753845,ok
0.6,IMG20260906165213,c:\CSUAP\data\test\IMG20260906165213.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img22.png,2592,1944,3,33.02715276191819,0.9620963931083679,ok
0.6,IMG20260906165218,c:\CSUAP\data\test\IMG20260906165218.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img23.png,2592,1944,3,33.04701507865284,0.965703010559082,ok
0.6,IMG20260906165223,c:\CSUAP\data\test\IMG20260906165223.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img24.png,2592,1944,3,33.023725483636845,0.9683992266654968,ok
0.6,IMG20260906165228,c:\CSUAP\data\test\IMG20260906165228.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img25.png,2592,1944,3,33.02822467314457,0.9574604034423828,ok
0.6,IMG20260906165230,c:\CSUAP\data\test\IMG20260906165230.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img26.png,2592,1944,3,33.030284804192235,0.9551601409912109,ok
0.6,IMG20260906165231,c:\CSUAP\data\test\IMG20260906165231.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img27.png,2592,1944,3,33.03103023952658,0.9550417065620422,ok
0.6,IMG20260906165235,c:\CSUAP\data\test\IMG20260906165235.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img28.png,2592,1944,3,33.02900321113695,0.9578392505645752,ok
0.6,IMG20260906165242,c:\CSUAP\data\test\IMG20260906165242.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img29.png,2592,1944,3,33.02491568883818,0.9589550495147705,ok
0.6,received_2081552955994974,c:\CSUAP\data\test\received_2081552955994974.jpeg,c:\CSUAP\outputs\cloaked\test\alpha_0.60\img30.png,1560,1170,3,33.03640959193807,0.9223758578300476,ok
0.7,4610,c:\CSUAP\data\test\4610.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img1.png,4096,3072,3,31.883000373427762,0.9791357517242432,ok
0.7,4761,c:\CSUAP\data\test\4761.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img2.png,4032,2688,3,31.783830383218966,0.9567950367927551,ok
0.7,5e03b897-22d4-4a14-a22e-ddcd38187020,c:\CSUAP\data\test\5e03b897-22d4-4a14-a22e-ddcd38187020.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img3.png,729,581,3,31.822252001241118,0.852325439453125,ok
0.7,9b03a6af-302f-4350-8f3d-f68c820cbb7f,c:\CSUAP\data\test\9b03a6af-302f-4350-8f3d-f68c820cbb7f.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img4.png,1312,982,3,31.85045393288766,0.9048599600791931,ok
0.7,a7f65312-8df7-4bec-ba76-4adba2196a07-1_all_2610,c:\CSUAP\data\test\a7f65312-8df7-4bec-ba76-4adba2196a07-1_all_2610.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img5.png,3280,2464,3,31.911722142657084,0.9749552607536316,ok
0.7,a7f65312-8df7-4bec-ba76-4adba2196a07-1_all_7407,c:\CSUAP\data\test\a7f65312-8df7-4bec-ba76-4adba2196a07-1_all_7407.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img6.png,3280,2464,3,31.99459977333399,0.9581769108772278,ok
0.7,d23ff9e4-b149-48a8-aed2-f922a0508488,c:\CSUAP\data\test\d23ff9e4-b149-48a8-aed2-f922a0508488.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img7.png,858,619,3,31.931292658014144,0.8506818413734436,ok
0.7,IMG20250822231100,c:\CSUAP\data\test\IMG20250822231100.jpg,c:\CSUAP\outputs\cloaked\test\alpha_0.70\img8.png,2592,1944,3,32.218188283159016,0.9601640105247498,ok
